alimento,grupo,equivalencia_casera,kcal_por_100g
Hígado de pollo cocid,AOA BAG,1 gramos = 1 g,167
Hígado de pollo crudo,AOA BAG,1 gramos = 1 g,120
Hígado de res cocido,AOA BAG,1 gramos = 1 g,160
Hígado de res frito,AOA BAG,1 gramos = 1 g,216
Jamón bajo en grasa,AOA BAG,1 rebanada = 21 g,133
Jamón de pavo,AOA BAG,1 rebanada = 21 g,129
Jamón de pierna,AOA BAG,1 rebanada = 21 g,133
Lomo de cerdo,AOA BAG,1 gramos = 1 g,140
Lorno de cerdo en trozos,AOA BAG,1 gramos = 1 g,140
Maciza de carnero,AOA BAG,1 gramos = 1 g,135
Maciza de ternera,AOA BAG,1 gramos = 1 g,157
Marlín,AOA BAG,1 gramos = 1 g,143
Milanesa de cerdo,AOA BAG,1 gramos = 1 g,140
Milanesa de ternera,AOA BAG,1 gramos = 1 g,157
Molida de cerdo,AOA BAG,1 gramos = 1 g,140
Molida de pavo,AOA BAG,1 gramos = 1 g,149
Molida de res,AOA BAG,1 gramos = 1 g,180
Molida de sirloin,AOA BAG,1 gramos = 1 g,204
Molida especial,AOA BAG,1 gramos = 1 g,180
Molida regular de res (10% grasa),AOA BAG,1 gramos = 1 g,180
Muslo de pollo crudo sin piel,AOA BAG,1 pieza = 90 g,120
Ostión cocido,AOA BAG,1 gramos = 1 g,163
Ostión crudo,AOA BAG,1 gramos = 1 g,81
Ostión cultivado,AOA BAG,1 pieza = 14 g,60
Ostión cultivado cocido,AOA BAG,1 pieza = 10 g,80
Ostión en jugo,AOA BAG,1 gramos = 1 g,81
Ostión enlatado,AOA BAG,1 gramos = 1 g,69
Pancita de puerco,AOA BAG,1 gramos = 1 g,157
Pasta de anchoas,AOA BAG,1 cucharadita = 7 g,200
Pasta de camarón,AOA BAG,1 gramos = 1 g,180
Pasta de langosta,AOA BAG,1 cucharadita = 7 g,186
Pastrami de pavo,AOA BAG,1 rebanada = 21 g,140
Pato de crianza,AOA BAG,1 gramos = 1 g,131
Pavo,AOA BAG,1 gramos = 1 g,158
Pavo entero,AOA BAG,1 gramos = 1 g,158
Pechuga de pollo sin piel,AOA BAG,1 gramos = 1 g,183
Pescado blanco,AOA BAG,1 gramos = 1 g,133
Pescado blanco Fileteado,AOA BAG,1 gramos = 1 g,134
Pescado blanco cocido,AOA BAG,1 gramos = 1 g,173
Pescuezo de pollo sin piel,AOA BAG,1 pieza = 0 g,153
Pescuezo de res,AOA BAG,1 gramos = 1 g,152
Pierna de carnero,AOA BAG,1 gramos = 1 g,135
Pierna de cerdo,AOA BAG,1 gramos = 1 g,140
Pierna de cordero,AOA BAG,1 gramos = 1 g,188
Pierna de pollo sin piel cocida,AOA BAG,1 pieza = 104 g,181
Pierna de pollo sin piel cruda,AOA BAG,1 pieza = 130 g,121
Pierna de puerco,AOA BAG,1 gramos = 1 g,140
Pulpa de cerdo,AOA BAG,1 gramos = 1 g,140
Pulpa de ternera,AOA BAG,1 gramos = 1 g,155
Pámpano,AOA BAG,1 gramos = 1 g,167
Pámpano Fileteado,AOA BAG,1 gramos = 1 g,171
Pámpano cocido,AOA BAG,1 gramos = 1 g,212
Queso Cheddar bajo en grasa,AOA BAG,1 gramos = 1 g,177
Queso Cottage cremos,AOA BAG,1 cucharada = 18 g,104
Queso Oaxaca Lala Light,AOA BAG,1 gramos = 1 g,213
Queso Panela,AOA BAG,1 gramos = 1 g,145
Queso Panela Lala Ligh,AOA BAG,1 gramos = 1 g,173
Queso Ricota reducido en grasa*,AOA BAG,1 cucharada = 15 g,138
Queso de soya,AOA BAG,1 rebanada = 28 g,150
Queso fresco,AOA BAG,1 gramos = 1 g,145
Queso fresco de cabra,AOA BAG,1 gramos = 1 g,173
Queso fresco de vaca,AOA BAG,1 gramos = 1 g,145
Recorte de cerdo cocido,AOA BAG,1 gramos = 1 g,236
Retazo de carnero,AOA BAG,1 gramos = 0 g,112
Rib Eye sin grasa,AOA BAG,1 gramos = 1 g,224
Salmón,AOA BAG,1 gramos = 1 g,183
Salmón cocido,AOA BAG,1 gramos = 1 g,183
Salmón fresco,AOA BAG,1 gramos = 1 g,183
Short Loin,AOA BAG,1 gramos = 1 g,216
Sierra ahumada,AOA BAG,1 gramos = 1 g,170
Sirloin,AOA BAG,1 gramos = 1 g,204
Susituto de huevo liquido,AOA BAG,1 cucharada = 15 g,85
Sustituto de huevo en polvo,AOA BAG,1 cucharada = 5 g,447
T-bone sin grasa,AOA BAG,1 gramos = 1 g,204
Ternera,AOA BAG,1 gramos = 1 g,157
Ternera en canal,AOA BAG,1 gramos = 1 g,155
"Tofu, firme",AOA BAG,1 gramos = 1 g,145
Trucha,AOA BAG,1 gramos = 0 g,169
