food_id,medida_nombre,porcion_default,gramos_por_medida
pomelo,gramos,260,0.59
prisco,pieza,3.5,44.0
pulpa-de-fresa,cucharada,2,12.5
pulpa-de-guanabana,cucharada,2,12.5
pulpa-de-mamey,cucharada,6,12.5
pulpa-de-tamarindo,cucharada,8,12.5
pulpa-de-zapote-negro,taza,0.5,210.0
pure-de-ciruela-pasa,cucharada,3,13.67
pure-de-guayaba,frasco,0.5,130.0
pure-de-guayaba-gerber-2a-etapa,frasco,0.5,130.0
pure-de-manzana,cucharada,6,13.83
pure-de-manzana-sin-azucar,taza,0.5,244.0
pure-de-platano,taza,0.25,224.0
rambutan,pieza,7,12.57
rambutan-en-almibar,taza,0.25,216.0
rollo-de-frutas,pieza,1,21.0
salsa-de-arandano-en-gelatina-enlatada,rebanada,0.5,58.0
sandia-picada,taza,1,160.0
sandia-rebanada,rebanada,1,200.0
saramuyo,gramos,130,0.65
semilla-de-jinicuil,gramos,200,0.2
tamarindo,gramos,50,0.5
tamarindo-pulpa-sin-azucar,cucharada,8,12.5
tamarindo-pelado,taza,0.25,120.0
tangerina,pieza,2,64.0
tejocote,pieza,2,30.0
toronja,pieza,1,162.0
toronja-en-gajos,taza,1,150.0
toronja-enlatada-con-jugo,taza,0.5,250.0
toronjas-en-almibar,taza,0.5,254.0
tuna,pieza,2,69.0
tuna-cardona,pieza,2,69.0
tuna-picada,taza,1,150.0
tuna-roja,pieza,2,69.0
uva,pieza,18,4.78
uva-blanca,taza,1,87.0
uva-con-semilla,taza,1,114.0
uva-roja,taza,1,114.0
uva-sin-semilla,taza,1,87.0
uva-verde,taza,1,87.0
uva-verde-sin-semilla,taza,1,87.0
ivas-enlatadas-en-agua,taza,0.5,246.0
xocoyol,gramos,900,0.25
zapote,pieza,0.25,204.0
zapote-amarillo,pieza,0.5,188.0
zapote-blanco,pieza,0.5,230.0
zapote-borracho,pieza,0.25,180.0
zapote-negro,pieza,0.5,186.0
zapote-negro-limpio,taza,0.5,230.0
zarzamora,taza,1,144.0
zarzamora-congelada-sin-azucar,taza,0.5,152.0
zarzamora-en-almibar,taza,0.25,256.0
alegria-natural,cucharadita,5,4.2
alegria-tostada,cucharadita,4,4.0
alegrias,pieza,1.5,14.0
amaranto-cocido,taza,2.5,132.0
amaranto-tostado,taza,0.25,64.0
anillos-de-trigo-azucarados-de-colores,taza,0.5,32.0
animalitos,pieza,9,2.22
arroz-cocido,taza,0.25,188.0
arroz-crudo,gramos,20,1.0
arroz-inflado-con-cocoa,taza,0.5,34.0
arroz-inflado-natural,taza,0.5,34.0
arroz-integral-cocido,taza,0.33,196.97
arroz-integral-crudo,gramos,20,1.0
arroz-para-sushi,taza,0.14,178.57
arroz-precocido-cocido,taza,0.33,157.58
arroz-precocido-crudo,gramos,20,1.0
arroz-pulido-crudo,gramos,20,1.0
arroz-salvaje-cocido,taza,0.33,163.64
arroz-salvaje-crudo,gramos,20,1.0
atole-en-polvo,cucharadita,7,2.57
atole-en-sobre,sobre,0.33,48.48
atole-sabor-cajeta,cucharada,2,9.0
atole-sabor-chocolate,cucharada,2,9.0
atole-sabor-fresa,cucharada,2,9.0
atole-sabor-nuez,cucharada,2,9.0
atole-sbor-vainilla,cucharada,2,9.0
atole-vitaminado,sobre,0.33,48.48
avena-cocida,taza,0.75,218.67
avena-con-canela-y-especias,sobre,0.33,45.45
avena-con-manzana-y-canela,sobre,0.33,42.42
avena-con-pasitas-y-especias,sobre,0.33,42.42
avena-en-hojuelas,taza,0.5,40.0
avena-instantanea-0-quaker-sabor-manzana-canela,sobre,0.5,36.0
avena-instantanea-plus-varios-sabores,sobre,0.33,42.42
avena-instantanea-preparada,taza,0.33,233.33
avena-instantanea-quaker-sabor-fresas-con-crema,sobre,0.5,36.0
avena-instantanea-varios-sabores,sobre,0.33,42.42
avena-integral,taza,0.33,78.79
avena-integral-con-pasitas-instatanea-preparada,sobre,0.5,44.0
avena-quaker-3-minutos,taza,0.5,40.0
avena-quaker-old-fashion,taza,0.5,40.0
avena-quaker-old-fashioed,taza,0.5,40.0
bagel,pieza,0.33,72.73
bagel-de-ajo,pieza,0.33,72.73
bagel-de-ajonjoli,pieza,0.33,72.73
bagel-de-avena,pieza,0.33,72.73
bagel-de-canela-y-pasas,pieza,0.33,72.73
bagel-de-cebolla,pieza,0.33,72.73
bagel-integral,pieza,0.33,72.73
baguette,pieza,0.14,192.86
barquillo,pieza,1.5,10.0
barra-de-amaranto,pieza,1.5,14.0
barra-de-cereal-con-fruta,pieza,1.5,14.0
barra-kelloggs-special-k-chocolate-semiamargo,barra,1,21.0
barra-kelloggs-special-k-cosecha-roja,barra,1,21.0
barra-kelloggs-special-k-sabor-vainilla-y-frambuesa,barra,1,21.0
barra-special-k-varios-sabores,pieza,1,24.0
barra-stila-quaker-sabor-manzana-canela,pieza,0.75,25.33
barra-stila-varios-sabores,pieza,0.75,25.33
barrita-de-avena,pieza,0.5,28.0
barrita-de-granola-sabor-manzana,pieza,0.5,28.0
bebida-vegetal-silk-avena-sin-azucar-y-sin-endulzar,taza,1,240.0
birote,pieza,0.33,66.67
bolillo,pieza,0.33,60.61
bolillo-integral,pieza,0.33,60.61
bolillo-integral-sin-migajon,pieza,0.5,54.0
bolillo-sin-migajon,pieza,0.5,60.0
bpnnp-de-hamburguesa,pieza,0.33,27.27
bollos-para-hamburguesa,pieza,0.33,75.76
burbujas-de-maiz-azucaradas,taza,0.5,32.0
camote-al-horno,taza,0.33,212.12
camote-amarillo,taza,0.33,163.64
camote-cocido,taza,0.33,209.09
camote-con-miel,taza,0.33,178.79
camote-con-naranja,taza,0.2,200.0
camote-en-dulce,taza,0.2,260.0
camote-largo,pieza,0.25,236.0
camote-poblano-dulce,pieza,0.75,60.0
canelones,pieza,4,5.0
cascara-de-papa-cruda,taza,2.5,50.0
cebada,gramos,20,1.0
cebada-perla-cocida,taza,0.33,157.58
centeno,cucharadita,5,4.4
cereal-avena-flakes,taza,0.75,25.33
cereal-chewy-para-ninos-varios-sabores,pieza,0.5,28.0
cereal-con-almendras-y-pasas,taza,0.33,57.58
cereal-de-arroz,taza,0.5,34.0
ceral-de-arroz-inflado-con-chocolate,taza,0.5,32.0
cereal-de-avena-con-maple,taza,0.33,81.82
cereal-de-avena-integral-seco,taza,0.33,57.58
cereal-de-galletas-de-chispa-de-chocolate,taza,0.5,30.0
cereal-de-maiz-reventado-con-azucar,taza,0.5,32.0
cereal-de-maiz-reventado-sabor-chocolate-y-crema-de-cacahuate,taza,0.33,42.42
cereal-de-salvado-de-trigo,taza,0.33,63.64
cereal-de-trigo-con-canela,taza,0.33,39.39
cereal-de-trigo-sabor-frutas,taza,0.5,30.0
cereal-integral-con-pasitas,taza,0.33,60.61
cereal-kelloggsgs-s-all-bran-flakes-cosecha-frutal,taza,0.66,39.39
cereal-kelloggsgs-s-all-bran-flakes-manzana-crunch,taza,0.66,39.39
cereal-kelloggss-s-all-bran-flakes-natural,taza,0.66,39.39
cereal-kelloggss-s-all-bran-flakes-pasas,taza,0.66,39.39
cereal-kelloggss-s-all-bran-original,taza,0.75,40.0
cereal-kelloggs-choco-krispis-krunchers,taza,0.75,34.67
cereal-kelloggs-corn-flakes,taza,0.66,30.3
cereal-kelloggs-froot-loops-krunchers,taza,1,30.0
cereal-kelloggs-rice-krispies,taza,0.5,36.0
cereal-kelloggs-special-k-antioxidantes,taza,0.5,38.0
cereal-kelloggs-special-k-energia,taza,0.5,38.0
cereal-kelloggs-special-k-equilibrio,taza,0.5,38.0
cereal-kelloggs-special-k-original,taza,0.66,30.3
cereal-kelloggs-zucaritas-krunchers,taza,1,36.0
cereal-multibran-flakes,taza,0.75,25.33
cereal-multibran-pasas,taza,0.75,25.33
cereal-multigrano,taza,0.25,80.0
cereal-quaker-avena-oh-s,taza,0.66,30.3
cereal-quaker-chewy-sabor-frutas,taza,0.66,30.3
cereal-quaker-multibran-pasas,taza,0.66,30.3
cereal-quaker-stila-sabor-manzana-canela,taza,0.66,30.3
cereal-sin-azucar,taza,0.5,28.0
chapata,pieza,0.33,69.7
codito-crudo,gramos,20,1.0
coditos-con-crema-deshidratados,cucharada,1.5,10.0
couscous,taza,0.33,157.58
crepas,pieza,2,15.0
crepas-para-rellenar,pieza,2,15.0
crepas-saladas,pieza,2,15.0
croutones,taza,0.5,30.0
cuadritos-de-avena,taza,0.33,57.58
cuadritos-de-avena-con-salvado,taza,0.33,57.58
curcuma,gramos,160,0.86
discos-de-amaranto,pieza,0.14,28.57
elote-amarillo-cocido,pieza,1.5,44.0
elote-amarillo-congelado,pieza,1.5,47.33
elote-amarillo-crudo,pieza,1.33,53.38
elote-amarillo-desgranado-cocido,taza,0.5,166.0
elote-amarillo-desgrasado-crudo,taza,0.5,166.0
elote-amarillo-enlatado,taza,0.5,164.0
elote-blanco-cocido,pieza,1.5,54.67
elote-blanco-desgranado,taza,0.5,166.0
elote-crudo,pieza,1.5,54.67
elote-desgranado,taza,0.5,166.0
elote-enlatado,taza,0.5,164.0
english-muffin,pieza,0.5,58.0
espagueti-cocido,taza,0.33,139.39
espagueti-con-espinaca-cocido,taza,0.33,142.42
espagueti-crudo,gramos,20,1.0
espagueti-integral-cocido,taza,0.33,139.39
espagueti-integral-crudo,gramos,20,1.0
espagueti-cocido-2,taza,0.33,142.42
espagueti-con-espinaca-cocido-2,taza,0.33,142.42
espagueti-crudo-2,gramos,20,1.0
espagueti-integral-cocido-2,taza,0.33,142.42
fecula-de-maiz,cucharada,2,8.0
fecula-de-maiz-de-sabor,cucharada,2,8.0
fetuccini-crudo,gramos,20,1.0
fibra-uno,taza,0.5,60.0
fideo-cocido,taza,0.5,40.0
fideo-con-tomate-deshidratado,cucharada,2,10.0
fideo-crudo,gramos,20,1.0
fideo-seco-deshidratado,cucharada,2,10.0
fideo-de-arroz,taza,0.5,40.0
fruitcake,rebanada,0.5,40.0
fusili-cocido,taza,0.33,139.39
fusili-crudo,gramos,20,1.0
